                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     65,               0.036114,               0.021062,                 0.0132,               0.043842,                0.21745,                0.64504,                0.31442,                0.21371,                0.21745,                0.64504,                 0.3141,                0.22736,               0.042071,               0.023922,              0.0057521,               0.048247,              0.0093664,              0.0093664,              0.0093664
                     66,               0.032571,               0.018323,               0.012711,               0.044461,                0.22882,                0.61409,                0.31619,                0.18027,                0.22644,                0.60813,                0.31374,                0.22893,               0.039743,               0.021319,              0.0056009,               0.044514,              0.0093565,              0.0093565,              0.0093565
                     67,               0.030504,               0.022531,               0.015377,               0.046107,                0.20554,                0.67579,                0.28739,                0.16399,                0.21026,                0.68175,                0.28904,                0.19344,               0.038422,               0.019687,              0.0055664,               0.046933,              0.0093466,              0.0093466,              0.0093466
                     68,                0.03271,               0.018605,               0.013142,               0.045802,                0.20443,                0.55388,                0.27644,                0.17611,                0.21062,                0.54572,                  0.275,                0.20272,               0.042206,                0.02374,              0.0053208,               0.046645,              0.0093367,              0.0093367,              0.0093367
                     69,               0.033008,                0.01973,               0.013718,               0.045678,                0.21508,                0.54249,                 0.3112,                0.20716,                0.21191,                0.53059,                0.30828,                0.22873,               0.047675,               0.025583,              0.0053079,               0.047574,              0.0093268,              0.0093268,              0.0093268
                     70,               0.035351,               0.020656,               0.013408,               0.043145,                0.21055,                0.63067,                0.33187,                0.19875,                0.20613,                0.62175,                0.32327,                0.23218,               0.047391,               0.024034,              0.0055771,               0.047446,              0.0093169,              0.0093169,              0.0093169
                     71,                0.03422,               0.022475,               0.012957,               0.045611,                0.11495,                0.38095,                0.24818,                0.14383,                0.11304,                0.39222,                0.24615,                0.18014,               0.043546,               0.023346,              0.0063276,                0.05504,               0.009307,               0.009307,               0.009307
                     72,               0.032317,               0.019789,               0.012713,               0.041046,                0.18596,                0.63306,                0.32856,                0.18653,                0.18448,                0.63505,                0.32634,                0.22615,               0.045352,                 0.0224,              0.0059657,               0.044305,              0.0092971,              0.0092971,              0.0092971
                     73,               0.032815,               0.019152,               0.012586,               0.043557,                0.21986,                0.60639,                0.30904,                0.17371,                0.21986,                0.60639,                0.30795,                0.21606,                0.04803,               0.024185,                0.00547,               0.044145,              0.0092872,              0.0092872,              0.0092872
                     74,               0.032799,                0.01907,               0.014744,               0.042272,                 0.2255,                0.48214,                0.28587,                0.16538,                0.22835,                0.48809,                0.29151,                0.19291,               0.047886,               0.022476,              0.0058289,               0.046014,              0.0092773,              0.0092773,              0.0092773
                     75,               0.031427,               0.019946,               0.011778,               0.041815,                0.15568,                0.44481,                0.28706,                0.16973,                0.16218,                0.46597,                0.28841,                0.20025,               0.047592,               0.022008,              0.0055821,               0.047868,              0.0092674,              0.0092674,              0.0092674
                     76,               0.033087,               0.018298,               0.012829,               0.041645,                0.19536,                0.50513,                0.25817,                0.16384,                0.19272,                 0.4962,                0.25763,                 0.1804,               0.047982,               0.028361,              0.0058403,               0.057208,              0.0092575,              0.0092575,              0.0092575
                     77,               0.032008,               0.019563,               0.013576,               0.042447,                0.16602,                0.65064,                0.25704,                0.15978,                0.16623,                0.55933,                0.26154,                0.17855,                0.04955,               0.030365,              0.0060637,               0.054185,              0.0092476,              0.0092476,              0.0092476
                     78,               0.035306,               0.020979,               0.012604,               0.038696,                 0.2376,                0.51844,                0.31491,                0.19106,                0.24119,                0.52439,                0.31655,                0.20383,                0.04623,               0.030349,              0.0057843,               0.052145,              0.0092377,              0.0092377,              0.0092377
                     79,               0.035347,               0.017001,               0.011499,               0.038416,                0.24703,                0.43422,                0.31303,                0.20505,                0.24703,                0.43422,                0.31303,                0.23102,               0.047223,               0.026221,              0.0056388,               0.052306,              0.0092278,              0.0092278,              0.0092278
                     80,               0.029662,               0.021407,               0.014134,               0.037283,                0.24299,                0.45563,                0.31895,                0.20191,                0.24299,                0.45563,                0.31895,                0.23898,               0.045761,               0.024238,              0.0057194,               0.050351,              0.0092179,              0.0092179,              0.0092179
                     81,               0.034914,               0.021674,               0.012769,                0.04048,                0.21997,                 0.4619,                0.32714,                0.20805,                0.21997,                 0.4619,                0.32705,                0.23762,               0.047587,               0.026037,              0.0056148,                0.05504,               0.009208,               0.009208,               0.009208
                     82,               0.034861,               0.019368,                0.01313,               0.041289,                0.23934,                 0.4811,                0.32877,                0.20088,                0.23934,                 0.4811,                0.32734,                0.22707,               0.049009,               0.029464,              0.0061221,               0.054004,              0.0091981,              0.0091981,              0.0091981
                     83,               0.034555,               0.017762,               0.011398,               0.041559,                0.21222,                0.40774,                0.31428,                0.20447,                0.21222,                0.40774,                 0.3127,                0.21039,               0.046488,               0.032397,              0.0057504,               0.057144,              0.0091882,              0.0091882,              0.0091882
                     84,               0.032086,               0.017709,               0.014243,               0.041348,                0.24694,                0.40615,                0.33458,                0.21905,                0.24455,                 0.4002,                0.32667,                0.22731,               0.048771,               0.030835,              0.0060692,               0.047926,              0.0091783,              0.0091783,              0.0091783
                     85,               0.031654,               0.017862,               0.012692,               0.038226,                0.17925,                0.47321,                0.29297,                0.19205,                0.18166,                0.47321,                0.28929,                0.22184,               0.044553,               0.021787,              0.0059328,               0.048551,              0.0091684,              0.0091684,              0.0091684
                     86,               0.031865,               0.017196,               0.013452,                0.03749,                0.22501,                0.46282,                0.30971,                0.17908,                  0.233,                0.47616,                0.31049,                 0.2141,               0.042731,               0.021434,               0.005564,               0.049203,              0.0091585,              0.0091585,              0.0091585
                     87,               0.032984,               0.019611,               0.012747,               0.039724,                0.19634,                0.35017,                0.25958,                0.16427,                0.19503,                0.34422,                0.25653,                0.17669,               0.043705,               0.024466,              0.0062194,               0.050298,              0.0091486,              0.0091486,              0.0091486
                     88,               0.031386,               0.018339,               0.012087,               0.039808,                0.28673,                 0.3319,                0.32191,                0.20144,                0.28673,                 0.3319,                0.32146,                0.23374,               0.049677,               0.023534,              0.0062866,                0.05567,              0.0091387,              0.0091387,              0.0091387
                     89,               0.031642,               0.019885,               0.012759,               0.034827,                0.20182,                0.38523,                0.27707,                0.18735,                0.20963,                0.40231,                0.28103,                0.20219,               0.047462,               0.024805,               0.006103,               0.057561,              0.0091288,              0.0091288,              0.0091288
                     90,               0.027785,               0.016864,               0.012138,               0.034983,                 0.3712,                0.42768,                 0.3933,                0.26301,                 0.3712,                0.42768,                0.39144,                0.29025,               0.048877,               0.024972,              0.0057931,               0.042159,              0.0091189,              0.0091189,              0.0091189
                     91,               0.032776,               0.018934,               0.012166,               0.037076,                0.24194,                0.43999,                0.29738,                0.19556,                0.24003,                0.43404,                0.29313,                0.20802,               0.056161,               0.033587,              0.0054882,               0.049256,               0.009109,               0.009109,               0.009109
                     92,               0.032606,               0.017441,               0.012061,               0.034237,                 0.2803,                0.32059,                0.27927,                0.15968,                0.30128,                0.34158,                0.28551,                 0.1766,               0.058971,               0.032993,              0.0058019,                0.04971,              0.0090991,              0.0090991,              0.0090991
